month,P4,P5_HighVol,P2,P1_LowVol,P3,LS_Portfolio
"(2020, 2)",-0.08395794394863243,-0.03567804933835661,-0.09114719706168095,-0.08178528826216735,-0.09437717431977377,-0.046107238923810745
"(2020, 3)",-0.11072868520439505,-0.11813008801019875,-0.0881997720768567,-0.05994478129328318,-0.13431006948617474,0.058185306716915575
"(2020, 4)",0.12113552747855061,0.19013231569278388,0.1111978104007183,0.09739580581115947,0.10796671452347395,-0.09273650988162441
"(2020, 5)",0.060135907329734506,0.03757829775281141,0.03228606845008786,0.0039138378204708335,0.0799003674523393,-0.033664459932340574
"(2020, 6)",0.037109328864947555,0.0214594275096478,0.024867247157876582,-0.030127662625109353,0.017789666631260248,-0.05158709013475715
"(2020, 7)",0.034164565105966105,-0.005139628744570746,0.0669440118650706,0.07737553838105682,0.06827677762753903,0.08251516712562756
"(2020, 8)",0.11946582993833466,0.11935079890399924,0.06297762563952292,0.04498259390321491,0.08212684970518525,-0.07436820500078434
"(2020, 9)",-0.057583654237936654,-0.0530589633661116,-0.02593572959847623,-0.015701461539219475,-0.020854760191950317,0.037357501826892126
"(2020, 10)",-0.051539849099121904,-0.06511479520898733,-0.02851679219358294,-0.03143306180244254,-0.03779406688699538,0.03368173340654479
"(2020, 11)",0.11678659757464005,0.2380427876120783,0.0872684514428288,0.08278562372840947,0.10913180177366222,-0.15525716388366884
"(2020, 12)",0.05757172086240936,0.056130903677422905,0.022063444821180056,0.006318318419572977,0.041861956709819736,-0.04981258525784993
"(2021, 1)",-0.03340796928045797,0.023573414918328428,-0.0009073129564747262,-0.043239649886264164,0.002925855450734316,-0.06681306480459259
"(2021, 2)",0.0016829978831562897,0.1289431837140036,0.0017247023053017507,-0.024525112920439573,0.009146358174013436,-0.15346829663444317
"(2021, 3)",0.019388450157675985,0.040854775696045564,0.04764624372660298,0.05536366453156272,0.051814725571659004,0.014508888835517153
"(2021, 4)",0.0175444151661166,0.05591947018036669,0.03799805700668557,0.01799431629083781,0.06788932618778465,-0.037925153889528884
"(2021, 5)",0.014314258505879307,0.014514225294831595,0.005011287376880391,0.012420327971110368,0.004807439436426364,-0.0020938973237212277
"(2021, 6)",0.02471837835337909,0.062495652661574974,0.010353306352698821,0.0014986523699827003,0.03981777440605372,-0.060997000291592274
"(2021, 7)",0.0002949509807830264,-0.016812507677011812,0.041643927626760835,0.030704092890077472,0.04873025996868585,0.047516600567089284
"(2021, 8)",0.015660460897616302,0.043644507006701305,0.01762262076849952,0.007872263326853535,0.03863859746257936,-0.03577224367984777
"(2021, 9)",-0.024225838189661508,-0.0025877653128090206,-0.06522251953837488,-0.03374241557568203,-0.049102075207256735,-0.031154650262873007
"(2021, 10)",0.04096397237918059,0.122020126618122,0.07370320101359362,0.0514944113205722,0.0846565519636,-0.07052571529754981
"(2021, 11)",-0.03269139992609116,0.03143953915575426,-0.006749736555664798,-0.03490471776108084,-0.011839686378654402,-0.0663442569168351
"(2021, 12)",0.04430075367570452,0.0015289847055732775,0.09329179198964588,0.09268308574220874,0.0239920286541615,0.09115410103663546
"(2022, 1)",-0.024882967267818357,-0.06481698467521602,-0.0621042649518776,0.0081263464916701,-0.028535531888720933,0.07294333116688612
"(2022, 2)",-0.03135957647821652,-0.07081801819958522,-0.01741868445086825,-0.00590529282898844,-0.011536249620456185,0.06491272537059678
"(2022, 3)",0.05120939388481682,0.021603481119500056,0.02839907145506393,0.03356917687376271,0.026068081146478184,0.01196569575426265
"(2022, 4)",-0.06527795516123203,-0.1990775044175045,-0.058183886643542015,-0.021690005188001682,-0.08007687662914453,0.1773874992295028
"(2022, 5)",0.036409744927464516,0.0039219336162297225,0.01665166782978522,-0.022748553121858417,0.02052206442769,-0.02667048673808814
"(2022, 6)",-0.09089296623955845,-0.12504179418099848,-0.053752094565071795,-0.012246843545188457,-0.07802766943677042,0.11279495063581002
"(2022, 7)",0.08224646042684669,0.15990321023235143,0.01381428439331267,0.00861343012300475,0.09382800669705582,-0.15128978010934668
"(2022, 8)",-0.06793771159185058,-0.05122639656772654,-0.03188477474499096,-0.05085281270232489,-0.028687043547654723,0.0003735838654016499
"(2022, 9)",-0.12021271698618119,-0.1257904480435691,-0.054013075336267535,-0.04634998967035653,-0.10310281071496286,0.07944045837321256
"(2022, 10)",0.10925007244669338,0.03254829256105074,0.10843112550543288,0.0730250511538959,0.10644807131323564,0.04047675859284516
"(2022, 11)",0.04769406828854583,0.06075222138130809,0.08659143512262069,0.05576455403397107,0.07957665312804996,-0.0049876673473370214
"(2022, 12)",-0.08207858189543726,-0.10295080486114971,-0.015088694139176795,-0.0153255351378212,-0.061647291044360286,0.08762526972332851
"(2023, 1)",0.08118615659570017,0.20601546218712175,0.002514783184764058,-0.02986628045499551,0.05798944830391628,-0.23588174264211725
"(2023, 2)",-0.03980216576411333,-0.014341600161927759,-0.04219599839490662,-0.026259861732842005,-0.04048386385322589,-0.011918261570914246
"(2023, 3)",0.06390540761881502,0.10003055376274239,0.005317438751065273,0.027282805978572577,0.026234107571845522,-0.07274774778416981
"(2023, 4)",0.023303293622110477,-0.017895075808956662,0.012719917929506774,0.03089141290604025,0.0018487098172923488,0.04878648871499691
"(2023, 5)",0.02788464327866058,0.0962478460800047,-0.032635953357140424,-0.06231183918394967,-0.02928841662834225,-0.15855968526395436
"(2023, 6)",0.046907914383290894,0.09294342103327802,0.03925719792384674,0.04875898260207534,0.043535502268582604,-0.04418443843120268
"(2023, 7)",0.042213432939383955,0.07470295149835371,0.0036564395190759047,0.006121797426212661,0.03734731182388229,-0.06858115407214105
"(2023, 8)",-0.037805624409498084,-0.016084248984266525,0.01608873333007077,-0.0066408266359105905,-0.021636623205949945,0.009443422348355934
"(2023, 9)",-0.028993016165060004,-0.05851090790727964,-0.03848528256802197,-0.04353560284744551,-0.06273998183192842,0.014975305059834132
"(2023, 10)",0.009872263828460959,-0.015999532549993423,0.00104193786033413,-0.017219626876246452,-0.06193790074937533,-0.0012200943262530295
"(2023, 11)",0.08073139259575468,0.15535039726966327,0.05624902462361825,0.025156478602321952,0.062380462797665404,-0.1301939186673413
"(2023, 12)",0.039506071214121086,0.055481964803051786,0.045783877428687614,0.012691739602665786,0.04408320717904646,-0.042790225200386
"(2024, 1)",0.024780167479887982,0.01674007632120178,0.013471722042966983,0.03885328065313143,0.010045387628506264,0.022113204331929648
"(2024, 2)",0.05421294353637984,0.0841440859626772,0.028737863470917224,0.031408561450154915,0.0085635346331705,-0.05273552451252228
"(2024, 3)",0.05067958058588262,0.006943105797688753,0.005779730575151909,0.016072111573115055,0.04219758237497717,0.009129005775426302
"(2024, 4)",-0.015163626602274438,-0.0718738114824975,-0.06349808761308107,-0.02362742242650262,-0.038305114905767934,0.048246389055994876
"(2024, 5)",0.024246609254765517,0.07920766621772413,0.023305573252954126,0.03140347995182058,0.010601122067328772,-0.04780418626590355
"(2024, 6)",-0.023336626814975725,0.09845915645779502,0.017681825048742272,-0.0050622640227622195,0.0044420760793375536,-0.10352142048055724
"(2024, 7)",-0.010114463606976098,-0.013375527863630166,0.016130547831670228,0.04991084726635653,0.07927312452600543,0.0632863751299867
"(2024, 8)",0.010677179618393762,-0.007750275819612185,0.029219887839153635,0.06203873419538275,0.025185010973948208,0.06978901001499493
"(2024, 9)",0.011084650875146318,0.047301807558091546,0.006025195159113039,-0.0039180267368709165,0.017669855014404767,-0.05121983429496246
"(2024, 10)",0.007788630023621845,-0.01992655504873231,-0.006057606537818505,-0.010128544753053137,-0.006753969935842541,0.009798010295679171
"(2024, 11)",0.06538045305072426,0.06129537473038549,0.04007127672951394,0.036853835614367725,0.05169891821637629,-0.024441539116017763
